mem_mib,k,rep,call_idx,call_time_ms
64,5,3,4,69.851775
64,5,3,5,70.105538
64,5,4,1,69.774044
64,5,4,2,70.328098
64,5,4,3,72.550685
64,5,4,4,71.357527
64,5,4,5,70.856392
64,5,5,1,69.654060
64,5,5,2,71.925963
64,5,5,3,71.189171
64,5,5,4,71.630139
64,5,5,5,70.603330
64,5,6,1,71.371442
64,5,6,2,72.045917
64,5,6,3,71.252568
64,5,6,4,71.011667
64,5,6,5,69.679849
64,5,7,1,70.440589
64,5,7,2,70.642726
64,5,7,3,71.274793
64,5,7,4,72.832610
64,5,7,5,71.451653
64,5,8,1,71.445236
64,5,8,2,73.308612
64,5,8,3,72.987116
64,5,8,4,71.042407
64,5,8,5,70.828970
64,5,9,1,71.655343
64,5,9,2,70.672985
64,5,9,3,70.261287
64,5,9,4,71.566352
64,5,9,5,72.150650
64,5,10,1,70.797548
64,5,10,2,71.678987
64,5,10,3,70.409876
64,5,10,4,71.574314
64,5,10,5,71.789354
64,5,11,1,71.222565
64,5,11,2,72.040147
64,5,11,3,71.544033
64,5,11,4,70.941662
64,5,11,5,71.339188
64,5,12,1,70.888777
64,5,12,2,71.472157
64,5,12,3,71.576134
64,5,12,4,69.691140
64,5,12,5,73.591163
64,5,13,1,71.312133
64,5,13,2,78.158809
64,5,13,3,71.343619
64,5,13,4,71.306270
64,5,13,5,71.122839
64,5,14,1,76.460826
64,5,14,2,71.028865
64,5,14,3,72.015208
64,5,14,4,70.825119
64,5,14,5,69.680153
64,5,15,1,73.673546
64,5,15,2,71.685792
64,5,15,3,72.459496
64,5,15,4,70.588619
64,5,15,5,70.874825
64,5,16,1,70.530733
64,5,16,2,70.039862
64,5,16,3,72.184757
64,5,16,4,71.381432
64,5,16,5,70.378983
64,5,17,1,71.562183
64,5,17,2,70.712485
64,5,17,3,69.801890
64,5,17,4,69.808626
64,5,17,5,71.094385
64,5,18,1,70.452903
64,5,18,2,70.963875
64,5,18,3,70.552224
64,5,18,4,72.577553
64,5,18,5,71.178441
64,5,19,1,72.338672
64,5,19,2,71.117951
64,5,19,3,71.602900
64,5,19,4,71.088706
64,5,19,5,69.545710
64,5,20,1,70.275779
64,5,20,2,71.863356
64,5,20,3,71.814393
64,5,20,4,71.696602
64,5,20,5,70.853991
64,5,21,1,72.261370
64,5,21,2,71.827523
64,5,21,3,87.515723
64,5,21,4,86.093230
64,5,21,5,71.580659
64,5,22,1,71.974432
64,5,22,2,70.621338
64,5,22,3,70.035585
64,5,22,4,71.434387
64,5,22,5,70.636158
64,5,23,1,71.952217
64,5,23,2,72.506454
64,5,23,3,73.668018
64,5,23,4,72.070687
64,5,23,5,76.629096
64,5,24,1,71.781297
64,5,24,2,70.818815
64,5,24,3,71.818700
64,5,24,4,71.268603
64,5,24,5,71.639747
64,5,25,1,71.049979
64,5,25,2,71.571532
64,5,25,3,73.231020
64,5,25,4,70.749722
64,5,25,5,70.564261
64,5,26,1,71.924458
64,5,26,2,73.817353
64,5,26,3,71.257358
64,5,26,4,71.907165
64,5,26,5,71.364416
64,5,27,1,72.663083
64,5,27,2,72.546162
64,5,27,3,71.787270
64,5,27,4,71.674319
64,5,27,5,72.108102
64,5,28,1,71.925744
64,5,28,2,70.997206
64,5,28,3,71.758988
64,5,28,4,74.040992
64,5,28,5,71.868642
64,5,29,1,72.964248
64,5,29,2,71.860264
64,5,29,3,72.604278
64,5,29,4,71.273538
64,5,29,5,70.672176
64,5,30,1,71.978375
64,5,30,2,71.672835
64,5,30,3,71.299267
64,5,30,4,71.131797
64,5,30,5,71.351841
64,5,31,1,71.709045
64,5,31,2,72.537045
64,5,31,3,70.391533
64,5,31,4,72.390186
64,5,31,5,71.242041
64,5,32,1,72.038318
64,5,32,2,72.219248
64,5,32,3,70.947409
64,5,32,4,72.512003
64,5,32,5,70.381208
64,5,33,1,69.898652
64,5,33,2,71.306341
64,5,33,3,71.978261
64,5,33,4,74.671575
64,5,33,5,72.810201
64,5,34,1,73.247071
64,5,34,2,71.061547
64,5,34,3,71.779792
64,5,34,4,71.672695
64,5,34,5,71.244375
64,5,35,1,72.148562
64,5,35,2,70.812925
64,5,35,3,71.774252
64,5,35,4,70.180315
64,5,35,5,71.836708
64,5,36,1,75.203068
64,5,36,2,72.024401
64,5,36,3,72.567563
64,5,36,4,70.891111
64,5,36,5,71.214469
64,5,37,1,71.301465
64,5,37,2,72.001175
64,5,37,3,72.504219
64,5,37,4,71.692569
64,5,37,5,70.887109
64,5,38,1,72.204735
64,5,38,2,69.109814
64,5,38,3,71.811798
64,5,38,4,71.621662
64,5,38,5,70.959896
64,5,39,1,73.959091
64,5,39,2,70.922280
64,5,39,3,71.531003
