k,rep,total_measured_ms,total_predicted_ms,ratio
5,34,6046.660785,6042.820610,1.000635
5,35,6086.923975,6042.820610,1.007298
5,36,6088.759405,6042.820610,1.007602
5,37,6058.493140,6042.820610,1.002593
5,38,6055.618774,6042.820610,1.002117
5,39,6051.480829,6042.820610,1.001433
5,40,6071.337479,6042.820610,1.004719
5,41,6062.862521,6042.820610,1.003316
5,42,6061.143935,6042.820610,1.003032
5,43,6046.640966,6042.820610,1.000632
5,44,6059.747261,6042.820610,1.002801
5,45,6071.241124,6042.820610,1.004703
5,46,6060.397223,6042.820610,1.002908
5,47,6088.829870,6042.820610,1.007613
5,48,6078.967614,6042.820610,1.005981
5,49,6081.538603,6042.820610,1.006407
5,50,6083.196811,6042.820610,1.006681
10,1,12168.926557,12085.641220,1.006891
10,2,12147.207729,12085.641220,1.005094
10,3,12145.993303,12085.641220,1.004993
10,4,12202.400863,12085.641220,1.009661
10,5,12184.296453,12085.641220,1.008163
10,6,12138.256430,12085.641220,1.004353
10,7,12176.341768,12085.641220,1.007504
10,8,12194.758886,12085.641220,1.009028
10,9,12184.169699,12085.641220,1.008152
10,10,12166.716520,12085.641220,1.006708
10,11,12204.400620,12085.641220,1.009826
10,12,12204.515101,12085.641220,1.009835
10,13,12174.194793,12085.641220,1.007327
10,14,12157.210329,12085.641220,1.005921
10,15,12176.761258,12085.641220,1.007539
10,16,12059.940784,12085.641220,.997873
10,17,12144.076585,12085.641220,1.004835
10,18,12162.743237,12085.641220,1.006379
10,19,12098.665740,12085.641220,1.001077
10,20,12154.878110,12085.641220,1.005728
10,21,12170.700458,12085.641220,1.007038
10,22,12145.284382,12085.641220,1.004935
10,23,12154.931106,12085.641220,1.005733
10,24,12095.998960,12085.641220,1.000857
10,25,12223.950314,12085.641220,1.011444
10,26,12118.692842,12085.641220,1.002734
10,27,12134.415418,12085.641220,1.004035
10,28,12086.227995,12085.641220,1.000048
10,29,12093.557281,12085.641220,1.000654
10,30,12190.032022,12085.641220,1.008637
10,31,12091.370438,12085.641220,1.000474
10,32,12160.849830,12085.641220,1.006222
10,33,12169.130924,12085.641220,1.006908
10,34,12116.676489,12085.641220,1.002567
10,35,12108.870270,12085.641220,1.001922
10,36,12119.428957,12085.641220,1.002795
10,37,12093.314860,12085.641220,1.000634
10,38,12117.366994,12085.641220,1.002625
10,39,12099.554296,12085.641220,1.001151
10,40,12125.809124,12085.641220,1.003323
10,41,12132.589853,12085.641220,1.003884
10,42,12155.705998,12085.641220,1.005797
10,43,12133.302915,12085.641220,1.003943
10,44,12154.732167,12085.641220,1.005716
10,45,12239.578520,12085.641220,1.012737
10,46,12109.746610,12085.641220,1.001994
10,47,12291.874076,12085.641220,1.017064
10,48,12122.865671,12085.641220,1.003080
10,49,12279.389736,12085.641220,1.016031
10,50,12323.374074,12085.641220,1.019670
30,1,36390.931021,36256.923660,1.003696
30,2,36415.312754,36256.923660,1.004368
30,3,36718.437462,36256.923660,1.012728
30,4,38029.855393,36256.923660,1.048899
30,5,37228.321061,36256.923660,1.026792
30,6,38093.323043,36256.923660,1.050649
30,7,37789.166819,36256.923660,1.042260
30,8,38421.297202,36256.923660,1.059695
30,9,37526.916941,36256.923660,1.035027
30,10,36744.088287,36256.923660,1.013436
30,11,36441.762915,36256.923660,1.005098
30,12,36589.075160,36256.923660,1.009161
30,13,36465.379102,36256.923660,1.005749
30,14,36482.132194,36256.923660,1.006211
30,15,36450.543929,36256.923660,1.005340
30,16,36441.292954,36256.923660,1.005085
30,17,36670.193742,36256.923660,1.011398
30,18,36499.472174,36256.923660,1.006689
30,19,36500.683917,36256.923660,1.006723
30,20,36520.573423,36256.923660,1.007271
30,21,37169.046616,36256.923660,1.025157
30,22,37845.807510,36256.923660,1.043822
30,23,37728.759298,36256.923660,1.040594
30,24,38215.250731,36256.923660,1.054012
30,25,38003.374104,36256.923660,1.048168
30,26,37868.557174,36256.923660,1.044450
30,27,37966.305835,36256.923660,1.047146
30,28,37120.023726,36256.923660,1.023805
30,29,36393.645323,36256.923660,1.003770
30,30,37003.930690,36256.923660,1.020603
30,31,37074.477172,36256.923660,1.022548
30,32,37221.143226,36256.923660,1.026594
30,33,37063.212033,36256.923660,1.022238
30,34,37304.965020,36256.923660,1.028905
30,35,36916.745793,36256.923660,1.018198
30,36,36650.052171,36256.923660,1.010842
30,37,36368.189392,36256.923660,1.003068
30,38,36322.184835,36256.923660,1.001799
30,39,36550.381553,36256.923660,1.008093
30,40,36822.095883,36256.923660,1.015587
30,41,36817.087539,36256.923660,1.015449
30,42,37553.992108,36256.923660,1.035774
30,43,37483.226007,36256.923660,1.033822
30,44,37334.501663,36256.923660,1.029720
30,45,37106.931620,36256.923660,1.023444
30,46,37124.056219,36256.923660,1.023916
30,47,37324.022803,36256.923660,1.029431
30,48,36459.630901,36256.923660,1.005590
30,49,37160.583911,36256.923660,1.024923
30,50,37866.720293,36256.923660,1.044399
60,1,76530.616310,72513.847320,1.055393
60,2,75596.598622,72513.847320,1.042512
60,3,76083.298180,72513.847320,1.049224
60,4,74929.313854,72513.847320,1.033310
60,5,76501.258093,72513.847320,1.054988
60,6,76725.254843,72513.847320,1.058077
60,7,77576.592084,72513.847320,1.069817
60,8,77198.778392,72513.847320,1.064607
60,9,75199.436134,72513.847320,1.037035
60,10,74747.152915,72513.847320,1.030798
60,11,76368.735221,72513.847320,1.053160
60,12,77487.673804,72513.847320,1.068591
60,13,76911.597667,72513.847320,1.060647
60,14,74809.101193,72513.847320,1.031652
60,15,75135.375754,72513.847320,1.036152
60,16,77270.460170,72513.847320,1.065595
60,17,76236.887864,72513.847320,1.051342
60,18,77233.634781,72513.847320,1.065088
60,19,77093.073890,72513.847320,1.063149
60,20,75340.418106,72513.847320,1.038979
60,21,76900.780948,72513.847320,1.060497
60,22,76362.791623,72513.847320,1.053078
60,23,74848.358237,72513.847320,1.032194
60,24,74571.277494,72513.847320,1.028372
60,25,75231.109735,72513.847320,1.037472
60,26,75025.823814,72513.847320,1.034641
60,27,76088.966898,72513.847320,1.049302
60,28,76074.376201,72513.847320,1.049101
60,29,75648.596939,72513.847320,1.043229
60,30,75575.209641,72513.847320,1.042217
60,31,75937.596479,72513.847320,1.047215
60,32,75060.528392,72513.847320,1.035119
60,33,74938.077398,72513.847320,1.033431
60,34,74609.783924,72513.847320,1.028903
60,35,73908.008354,72513.847320,1.019226
60,36,74105.470996,72513.847320,1.021949
60,37,75043.524618,72513.847320,1.034885
60,38,74795.042343,72513.847320,1.031458
60,39,76598.343998,72513.847320,1.056327
60,40,77011.871106,72513.847320,1.062029
60,41,76439.601056,72513.847320,1.054137
60,42,76865.224221,72513.847320,1.060007
60,43,75992.470970,72513.847320,1.047971
60,44,73243.972152,72513.847320,1.010068
60,45,73344.238763,72513.847320,1.011451
60,46,73047.763483,72513.847320,1.007362
60,47,73237.417819,72513.847320,1.009978
60,48,73180.886790,72513.847320,1.009198
60,49,73398.184888,72513.847320,1.012195
60,50,73147.300007,72513.847320,1.008735
